State	Democrat	Republican	EC_Votes
AL	849378	1441170	9
AK	153502	189543	3
AZ	1672143	1661686	11
AR	423518	759749	6
CA	11109764	6005961	55
CO	1804418	1364640	9
CT	1080680	715291	7
DE	296268	200603	3
DC	307265	18172	3
FL	5297045	5668731	29
GA	2473633	2461854	16
HI	366130	196864	4
ID	287031	554128	4
IL	3471068	2446167	20
IN	1242505	1729864	11
IA	759061	897672	6
KS	569601	769126	6
KY	772291	1326424	8
LA	856034	1255776	8
ME	434690	360090	4
MD	1985023	976414	10
MA	2382202	1165202	11
MI	2804040	2649852	16
MN	1716818	1483982	10
MS	539493	756731	6
MO	1253793	1718195	10
MT	245712	343638	3
NE	374184	555551	5
NV	703486	669890	6
NH	424937	365660	4
NJ	2608318	1883242	14
NM	502079	403062	5
NY	5244006	3250230	29
NC	2684292	2758773	15
ND	115107	235695	3
OH	2679165	3154834	18
OK	503890	1020280	7
OR	1340175	958180	7
PA	3458229	3377674	20
RI	306210	199837	4
SC	1091541	1385103	9
SD	150475	261049	3
TN	1143711	1852475	11
TX	5259126	5890347	38
UT	560282	865140	6
VT	242847	112724	3
VA	2413164	1962633	13
WA	2369612	1584651	12
WV	235847	545051	5
WI	1630866	1610184	10
WY	73491	193559	3
